"","sheet","state","emptot_feb92","emptot_nov92","chain","pct_fte","wage_st","hrsopen"
"1",46,"Pennsylvania",40.5,24,"bk",74.0740740740741,NA,16.5
"2",46,"Pennsylvania",40.5,24,"bk",14.5833333333333,4.3,16.5
"3",49,"Pennsylvania",13.75,11.5,"kfc",47.2727272727273,NA,13
"4",49,"Pennsylvania",13.75,11.5,"kfc",0,4.45,13
"5",506,"Pennsylvania",8.5,10.5,"kfc",35.2941176470588,NA,10
"6",506,"Pennsylvania",8.5,10.5,"kfc",28.5714285714286,5,11
"7",56,"Pennsylvania",34,20,"wendys",58.8235294117647,5,12
"8",56,"Pennsylvania",34,20,"wendys",0,5.25,12
"9",61,"Pennsylvania",24,35.5,"wendys",25,5.5,12
"10",61,"Pennsylvania",24,35.5,"wendys",78.8732394366197,4.75,12
"11",62,"Pennsylvania",20.5,NA,"wendys",0,5,12
"12",62,"Pennsylvania",20.5,NA,"wendys",NA,NA,12
"13",445,"Pennsylvania",70.5,29,"bk",70.9219858156028,5,18
"14",445,"Pennsylvania",70.5,29,"bk",51.7241379310345,4.75,18
"15",451,"Pennsylvania",23.5,36.5,"bk",42.5531914893617,5,24
"16",451,"Pennsylvania",23.5,36.5,"bk",71.2328767123288,5,24
"17",455,"Pennsylvania",11,11,"kfc",18.1818181818182,5.25,10
"18",455,"Pennsylvania",11,11,"kfc",27.2727272727273,5,11
"19",458,"Pennsylvania",9,8.5,"kfc",22.2222222222222,5,10
"20",458,"Pennsylvania",9,8.5,"kfc",23.5294117647059,5,10.5
"21",462,"Pennsylvania",15.5,17.5,"roys",16.1290322580645,5,12.5
"22",462,"Pennsylvania",15.5,17.5,"roys",5.71428571428571,4.75,12
"23",468,"Pennsylvania",58,29,"bk",68.9655172413793,5,18
"24",468,"Pennsylvania",58,29,"bk",31.0344827586207,5,18
"25",469,"Pennsylvania",26.5,30.5,"bk",30.188679245283,5,18
"26",469,"Pennsylvania",26.5,30.5,"bk",22.9508196721311,4.5,18
"27",470,"Pennsylvania",28.5,26,"bk",36.8421052631579,5.5,18
"28",470,"Pennsylvania",28.5,26,"bk",69.2307692307692,4.75,18
"29",474,"Pennsylvania",13.5,18,"bk",44.4444444444444,5,12.5
"30",474,"Pennsylvania",13.5,18,"bk",27.7777777777778,4.5,13
"31",481,"Pennsylvania",16.75,20,"kfc",29.8507462686567,5.25,10
"32",481,"Pennsylvania",16.75,20,"kfc",75,5,11
"33",483,"Pennsylvania",9.5,13.5,"kfc",10.5263157894737,5,10
"34",483,"Pennsylvania",9.5,13.5,"kfc",29.6296296296296,4.75,11
"35",487,"Pennsylvania",15,19,"roys",66.6666666666667,5,11.5
"36",487,"Pennsylvania",15,19,"roys",31.5789473684211,4.75,11
"37",488,"Pennsylvania",29.5,15.5,"roys",67.7966101694915,5,16
"38",488,"Pennsylvania",29.5,15.5,"roys",32.258064516129,4.75,15
"39",489,"Pennsylvania",18.5,14.5,"roys",27.027027027027,5,14
"40",489,"Pennsylvania",18.5,14.5,"roys",13.7931034482759,4.25,11.5
"41",490,"Pennsylvania",20.25,14,"roys",49.3827160493827,5,16
"42",490,"Pennsylvania",20.25,14,"roys",14.2857142857143,5,16
"43",493,"Pennsylvania",36,19,"roys",75,5,16
"44",493,"Pennsylvania",36,19,"roys",0,4.9,16
"45",495,"Pennsylvania",21,21,"roys",19.047619047619,5,15
"46",495,"Pennsylvania",21,21,"roys",38.0952380952381,5,16
"47",496,"Pennsylvania",20.5,18,"roys",48.780487804878,5,16
"48",496,"Pennsylvania",20.5,18,"roys",55.5555555555556,4.75,16
"49",499,"Pennsylvania",19,20.5,"wendys",0,5,12
"50",499,"Pennsylvania",19,20.5,"wendys",0,5,12
"51",509,"Pennsylvania",14,13.5,"roys",21.4285714285714,5,16
"52",509,"Pennsylvania",14,13.5,"roys",40.7407407407407,4.25,15.5
"53",515,"Pennsylvania",19,17.5,"roys",36.8421052631579,5,16
"54",515,"Pennsylvania",19,17.5,"roys",28.5714285714286,4.75,16
"55",37,"Pennsylvania",32.5,25.5,"bk",64.6153846153846,4.25,16.5
"56",37,"Pennsylvania",32.5,25.5,"bk",23.5294117647059,4.25,16.5
"57",39,"Pennsylvania",19,15.5,"bk",5.26315789473684,4.25,17.5
"58",39,"Pennsylvania",19,15.5,"bk",32.258064516129,NA,16.5
"59",40,"Pennsylvania",27,25.5,"bk",37.037037037037,4.25,16.5
"60",40,"Pennsylvania",27,25.5,"bk",27.4509803921569,4.25,17.5
"61",41,"Pennsylvania",19.5,27,"bk",0,4.25,16.5
"62",41,"Pennsylvania",19.5,27,"bk",0,4.25,17.5
"63",42,"Pennsylvania",24,16,"bk",70.8333333333333,4.5,16.5
"64",42,"Pennsylvania",24,16,"bk",0,4.25,16.5
"65",45,"Pennsylvania",18,19,"bk",0,4.25,16
"66",45,"Pennsylvania",18,19,"bk",57.8947368421053,4.25,17.5
"67",47,"Pennsylvania",NA,24.5,"bk",NA,4.5,17
"68",47,"Pennsylvania",NA,24.5,"bk",0,4.25,18
"69",48,"Pennsylvania",19,25,"bk",31.5789473684211,4.25,14
"70",48,"Pennsylvania",19,25,"bk",30,4.38,14
"71",50,"Pennsylvania",14,17,"kfc",42.8571428571429,4.5,12
"72",50,"Pennsylvania",14,17,"kfc",23.5294117647059,4.75,13
"73",51,"Pennsylvania",10.5,16.5,"kfc",0,4.25,13
"74",51,"Pennsylvania",10.5,16.5,"kfc",36.3636363636364,4.25,13
"75",57,"Pennsylvania",38,20,"wendys",78.9473684210526,4.67,12
"76",57,"Pennsylvania",38,20,"wendys",35,4.5,12
"77",58,"Pennsylvania",23.5,18,"wendys",34.0425531914894,4.75,12
"78",58,"Pennsylvania",23.5,18,"wendys",0,4.5,12
"79",59,"Pennsylvania",10.5,12,"wendys",0,4.25,10.5
"80",59,"Pennsylvania",10.5,12,"wendys",0,4.25,10.5
"81",60,"Pennsylvania",25,25,"wendys",40,4.25,11.5
"82",60,"Pennsylvania",25,25,"wendys",40,4.25,12
"83",407,"Pennsylvania",11,11,"kfc",18.1818181818182,4.75,10
"84",407,"Pennsylvania",11,11,"kfc",9.09090909090909,4.25,11
"85",430,"Pennsylvania",36.5,27,"bk",54.7945205479452,4.25,15
"86",430,"Pennsylvania",36.5,27,"bk",0,4.25,16
"87",432,"Pennsylvania",52.5,34,"bk",38.0952380952381,4.5,16
"88",432,"Pennsylvania",52.5,34,"bk",73.5294117647059,5.05,16
"89",433,"Pennsylvania",29,25,"bk",34.4827586206897,4.25,16
"90",433,"Pennsylvania",29,25,"bk",0,NA,16
"91",434,"Pennsylvania",45,37.5,"bk",33.3333333333333,4.25,16
"92",434,"Pennsylvania",45,37.5,"bk",50.6666666666667,4.25,16
"93",435,"Pennsylvania",22.75,21,"bk",4.3956043956044,4.25,15.5
"94",435,"Pennsylvania",22.75,21,"bk",0,4.25,15.5
"95",438,"Pennsylvania",7.5,9.5,"kfc",0,4.25,8
"96",438,"Pennsylvania",7.5,9.5,"kfc",21.0526315789474,4.25,9
"97",440,"Pennsylvania",15.5,18,"wendys",0,4.25,11.5
"98",440,"Pennsylvania",15.5,18,"wendys",0,NA,11.5
"99",441,"Pennsylvania",38,18,"wendys",78.9473684210526,4.25,11.5
"100",441,"Pennsylvania",38,18,"wendys",0,4.25,11.5
"101",443,"Pennsylvania",17.5,19,"wendys",22.8571428571429,4.25,11.5
"102",443,"Pennsylvania",17.5,19,"wendys",26.3157894736842,4.35,11.5
"103",444,"Pennsylvania",25,31.5,"wendys",48,4.25,12.5
"104",444,"Pennsylvania",25,31.5,"wendys",31.7460317460317,4.5,11.5
"105",446,"Pennsylvania",NA,23,"bk",NA,4.5,18
"106",446,"Pennsylvania",NA,23,"bk",30.4347826086957,5,18
"107",448,"Pennsylvania",21,24.5,"bk",38.0952380952381,4.75,18
"108",448,"Pennsylvania",21,24.5,"bk",32.6530612244898,4.5,18
"109",449,"Pennsylvania",15.5,27.5,"bk",0,4.87,18
"110",449,"Pennsylvania",15.5,27.5,"bk",54.5454545454545,5,18
"111",450,"Pennsylvania",15.5,34.5,"bk",12.9032258064516,4.75,16.5
"112",450,"Pennsylvania",15.5,34.5,"bk",79.7101449275362,4.75,18
"113",454,"Pennsylvania",8.5,14,"kfc",11.7647058823529,4.5,10
"114",454,"Pennsylvania",8.5,14,"kfc",0,5,11
"115",459,"Pennsylvania",18,15,"roys",27.7777777777778,4.25,16
"116",459,"Pennsylvania",18,15,"roys",0,4.35,15
"117",466,"Pennsylvania",20.75,23,"wendys",38.5542168674699,4.75,11.5
"118",466,"Pennsylvania",20.75,23,"wendys",60.8695652173913,NA,11.5
"119",471,"Pennsylvania",39,26.5,"bk",64.1025641025641,4.25,18
"120",471,"Pennsylvania",39,26.5,"bk",45.2830188679245,4.25,18
"121",472,"Pennsylvania",41.5,23.5,"bk",90.3614457831325,4.25,16.5
"122",472,"Pennsylvania",41.5,23.5,"bk",34.0425531914894,4.9,17
"123",473,"Pennsylvania",22.5,35.5,"bk",22.2222222222222,4.75,17
"124",473,"Pennsylvania",22.5,35.5,"bk",73.2394366197183,4.5,17
"125",475,"Pennsylvania",32,21,"bk",78.125,4.5,15
"126",475,"Pennsylvania",32,21,"bk",47.6190476190476,4.5,15
"127",476,"Pennsylvania",24,23,"bk",25,4.25,18
"128",476,"Pennsylvania",24,23,"bk",21.7391304347826,4.75,18
"129",477,"Pennsylvania",26,20,"bk",30.7692307692308,4.25,16.5
"130",477,"Pennsylvania",26,20,"bk",30,6.25,17
"131",478,"Pennsylvania",48.5,27,"bk",65.979381443299,4.5,19
"132",478,"Pennsylvania",48.5,27,"bk",29.6296296296296,4.35,18
"133",485,"Pennsylvania",8.5,13,"kfc",11.7647058823529,4.5,10
"134",485,"Pennsylvania",8.5,13,"kfc",30.7692307692308,4.5,11
"135",491,"Pennsylvania",18.5,0,"roys",21.6216216216216,4.5,13
"136",491,"Pennsylvania",18.5,0,"roys",NA,NA,NA
"137",492,"Pennsylvania",13,13.5,"roys",15.3846153846154,4.5,12.5
"138",492,"Pennsylvania",13,13.5,"roys",29.6296296296296,4.5,12.5
"139",497,"Pennsylvania",22.5,NA,"wendys",53.3333333333333,4.5,12
"140",497,"Pennsylvania",22.5,NA,"wendys",NA,NA,12
"141",498,"Pennsylvania",28,26.75,"wendys",71.4285714285714,4.75,12
"142",498,"Pennsylvania",28,26.75,"wendys",78.5046728971963,5,12
"143",501,"Pennsylvania",24.5,43.5,"bk",57.1428571428571,4.25,16.5
"144",501,"Pennsylvania",24.5,43.5,"bk",68.9655172413793,4.75,18
"145",503,"Pennsylvania",18.5,41.25,"bk",40.5405405405405,4.75,16.5
"146",503,"Pennsylvania",18.5,41.25,"bk",84.8484848484848,4.5,18
"147",510,"Pennsylvania",23.5,14.25,"roys",29.7872340425532,4.25,16
"148",510,"Pennsylvania",23.5,14.25,"roys",17.5438596491228,NA,15
"149",511,"Pennsylvania",15,12.5,"roys",26.6666666666667,4.75,16.5
"150",511,"Pennsylvania",15,12.5,"roys",24,4.75,15
"151",514,"Pennsylvania",18,34,"roys",27.7777777777778,4.5,16
"152",514,"Pennsylvania",18,34,"roys",67.6470588235294,4.25,16
"153",516,"Pennsylvania",20.25,10,"roys",29.6296296296296,4.75,16
"154",516,"Pennsylvania",20.25,10,"roys",20,4.91,14
"155",521,"Pennsylvania",15.5,14,"bk",16.1290322580645,4.25,16.5
"156",521,"Pennsylvania",15.5,14,"bk",0,4.4,16
"157",522,"Pennsylvania",21,17.5,"bk",9.52380952380952,4.35,16
"158",522,"Pennsylvania",21,17.5,"bk",17.1428571428571,4.25,16
"159",113,"New Jersey",15,27,"bk",0,NA,16
"160",113,"New Jersey",15,27,"bk",7.40740740740741,5.05,16
"161",123,"New Jersey",15,21.5,"bk",0,NA,14.5
"162",123,"New Jersey",15,21.5,"bk",23.2558139534884,5.05,14
"163",135,"New Jersey",24,23,"roys",41.6666666666667,NA,12.5
"164",135,"New Jersey",24,23,"roys",34.7826086956522,5.05,11.5
"165",138,"New Jersey",19.25,21.5,"roys",23.3766233766234,NA,11.5
"166",138,"New Jersey",19.25,21.5,"roys",9.30232558139535,5.05,11.5
"167",153,"New Jersey",21.5,34.5,"bk",0,NA,17
"168",153,"New Jersey",21.5,34.5,"bk",76.8115942028985,5.05,17
"169",181,"New Jersey",9.5,10.5,"kfc",0,NA,11
"170",181,"New Jersey",9.5,10.5,"kfc",9.52380952380952,5.05,11
"171",191,"New Jersey",44,16.5,"wendys",68.1818181818182,NA,12
"172",191,"New Jersey",44,16.5,"wendys",0,5.05,12
"173",231,"New Jersey",NA,23,"bk",NA,NA,16
"174",231,"New Jersey",NA,23,"bk",69.5652173913043,5.05,16
"175",236,"New Jersey",21,38,"bk",0,NA,17
"176",236,"New Jersey",21,38,"bk",60.5263157894737,5.05,18
"177",254,"New Jersey",28,36,"wendys",71.4285714285714,NA,16
"178",254,"New Jersey",28,36,"wendys",77.7777777777778,5.25,15
"179",255,"New Jersey",10,16,"wendys",0,NA,14
"180",255,"New Jersey",10,16,"wendys",50,NA,14
"181",294,"New Jersey",20.5,20.5,"bk",0,NA,16
"182",294,"New Jersey",20.5,20.5,"bk",0,5.05,16
"183",306,"New Jersey",25.5,19,"roys",58.8235294117647,NA,17
"184",306,"New Jersey",25.5,19,"roys",31.5789473684211,5.05,18
"185",311,"New Jersey",19,53,"wendys",0,NA,11.5
"186",311,"New Jersey",19,53,"wendys",66.0377358490566,5.05,11.5
"187",315,"New Jersey",16.5,16.5,"bk",30.3030303030303,NA,16
"188",315,"New Jersey",16.5,16.5,"bk",27.2727272727273,5.05,16
"189",335,"New Jersey",17,16.5,"bk",52.9411764705882,NA,17
"190",335,"New Jersey",17,16.5,"bk",42.4242424242424,5.05,17
"191",372,"New Jersey",27.5,45,"bk",0,NA,19
"192",372,"New Jersey",27.5,45,"bk",66.6666666666667,5.05,18.5
"193",6,"New Jersey",5,8,"roys",40,5,7
"194",6,"New Jersey",5,8,"roys",62.5,5.05,8
"195",14,"New Jersey",16,15.5,"kfc",62.5,5.12,11
"196",14,"New Jersey",16,15.5,"kfc",25.8064516129032,5.05,11
"197",26,"New Jersey",41.5,24,"bk",72.289156626506,5.56,16
"198",26,"New Jersey",41.5,24,"bk",41.6666666666667,5.05,16
"199",27,"New Jersey",13,7.5,"kfc",30.7692307692308,5,10
"200",27,"New Jersey",13,7.5,"kfc",0,5.05,10
"201",30,"New Jersey",10,7.5,"kfc",60,5,10
"202",30,"New Jersey",10,7.5,"kfc",53.3333333333333,5.05,10
"203",31,"New Jersey",15,18.5,"kfc",26.6666666666667,5.25,11
"204",31,"New Jersey",15,18.5,"kfc",32.4324324324324,5.05,12.5
"205",33,"New Jersey",26,16.5,"roys",46.1538461538462,5,17
"206",33,"New Jersey",26,16.5,"roys",36.3636363636364,5.05,17
"207",36,"New Jersey",18,33.5,"wendys",44.4444444444444,5.5,13
"208",36,"New Jersey",18,33.5,"wendys",29.8507462686567,5.05,12.5
"209",77,"New Jersey",35,37,"roys",17.1428571428571,5,19
"210",77,"New Jersey",35,37,"roys",10.8108108108108,5.05,19
"211",78,"New Jersey",21,18,"roys",61.9047619047619,5,17
"212",78,"New Jersey",21,18,"roys",55.5555555555556,5.05,16
"213",81,"New Jersey",34.5,26.5,"wendys",72.463768115942,5,12
"214",81,"New Jersey",34.5,26.5,"wendys",0,5.05,11.5
"215",82,"New Jersey",18.25,33,"wendys",43.8356164383562,5,13.5
"216",82,"New Jersey",18.25,33,"wendys",75.7575757575758,5.05,13.5
"217",83,"New Jersey",24.5,NA,"wendys",51.0204081632653,5,13.5
"218",83,"New Jersey",24.5,NA,"wendys",NA,5.05,14
"219",85,"New Jersey",20,20.5,"bk",35,5.5,12.5
"220",85,"New Jersey",20,20.5,"bk",0,5.05,12.5
"221",89,"New Jersey",16,24.5,"bk",62.5,5,16
"222",89,"New Jersey",16,24.5,"bk",24.4897959183673,5.5,16
"223",94,"New Jersey",17.5,16,"kfc",0,5,10
"224",94,"New Jersey",17.5,16,"kfc",12.5,5.05,10
"225",103,"New Jersey",20.5,NA,"wendys",60.9756097560976,5,11.5
"226",103,"New Jersey",20.5,NA,"wendys",NA,5.05,12.5
"227",112,"New Jersey",20,23.5,"wendys",20,5,14
"228",112,"New Jersey",20,23.5,"wendys",21.2765957446809,5.05,12.5
"229",128,"New Jersey",12.25,13,"kfc",53.0612244897959,5,11
"230",128,"New Jersey",12.25,13,"kfc",23.0769230769231,5.05,11
"231",129,"New Jersey",33,20,"roys",60.6060606060606,5.25,16
"232",129,"New Jersey",33,20,"roys",35,5.05,16
"233",131,"New Jersey",31.5,22,"roys",47.6190476190476,5.5,17
"234",131,"New Jersey",31.5,22,"roys",36.3636363636364,5.05,15
"235",139,"New Jersey",NA,28.5,"wendys",NA,5.5,12.5
"236",139,"New Jersey",NA,28.5,"wendys",38.5964912280702,5.5,12
"237",143,"New Jersey",18,NA,"wendys",0,5.37,11.5
"238",143,"New Jersey",18,NA,"wendys",NA,NA,NA
"239",144,"New Jersey",28,25.5,"wendys",35.7142857142857,5.05,12.5
"240",144,"New Jersey",28,25.5,"wendys",15.6862745098039,5.05,12.5
"241",145,"New Jersey",16.5,18,"bk",30.3030303030303,5,16
"242",145,"New Jersey",16.5,18,"bk",55.5555555555556,5.28,16
"243",147,"New Jersey",14.75,9,"bk",57.6271186440678,5.12,14
"244",147,"New Jersey",14.75,9,"bk",66.6666666666667,5.25,14
"245",148,"New Jersey",23.5,26.5,"bk",19.1489361702128,5.25,17
"246",148,"New Jersey",23.5,26.5,"bk",28.3018867924528,5.05,17
"247",151,"New Jersey",10,0,"bk",10,5,15
"248",151,"New Jersey",10,0,"bk",NA,NA,NA
"249",152,"New Jersey",46.5,23.75,"bk",75.2688172043011,5.12,15
"250",152,"New Jersey",46.5,23.75,"bk",50.5263157894737,5.05,15
"251",157,"New Jersey",15.5,18,"kfc",64.5161290322581,5,12
"252",157,"New Jersey",15.5,18,"kfc",66.6666666666667,5.5,11
"253",161,"New Jersey",24.5,36,"roys",32.6530612244898,5,17
"254",161,"New Jersey",24.5,36,"roys",72.2222222222222,5.05,17
"255",163,"New Jersey",24,21,"roys",50,5,16.5
"256",163,"New Jersey",24,21,"roys",7.14285714285714,5.05,15
"257",164,"New Jersey",23,15.5,"roys",17.3913043478261,5,19
"258",164,"New Jersey",23,15.5,"roys",32.258064516129,5.05,17
"259",165,"New Jersey",28,22.5,"wendys",71.4285714285714,5,12.5
"260",165,"New Jersey",28,22.5,"wendys",44.4444444444444,5.05,12.5
"261",169,"New Jersey",32.5,27,"bk",36.9230769230769,5,16
"262",169,"New Jersey",32.5,27,"bk",74.0740740740741,5.05,16
"263",170,"New Jersey",23,34,"bk",43.4782608695652,5,16
"264",170,"New Jersey",23,34,"bk",58.8235294117647,5.05,16
"265",187,"New Jersey",17,16.75,"roys",23.5294117647059,5.62,15
"266",187,"New Jersey",17,16.75,"roys",29.8507462686567,5.05,15
"267",190,"New Jersey",30,26,"roys",16.6666666666667,5,16
"268",190,"New Jersey",30,26,"roys",26.9230769230769,5.05,15
